url,appellation,verbaleDating,processedDating,primaryIconography,iconography,productionMethods_wd,productionMaterials_wd,position,normdata,commissioner,painter,width,length,height,diameter,description_en,description_de,location,condition,wikidata_qid,ID
https://www.deckenmalerei.eu/57fbe296-6112-4a22-9964-ef69856d50a2,Fiducia,,,,73C464,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902040,57fbe296-6112-4a22-9964-ef69856d50a2
https://www.deckenmalerei.eu/6385929c-9509-4ff7-8eb0-15952d1f5f25,Reverentia,,,,73B57,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902220,6385929c-9509-4ff7-8eb0-15952d1f5f25
https://www.deckenmalerei.eu/60fc0216-bb13-432d-96f2-5540f78e984e,Dolor,,,,73D331,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902221,60fc0216-bb13-432d-96f2-5540f78e984e
https://www.deckenmalerei.eu/676502e2-4e49-4cd6-be96-b5dffbaff19f,Desiderium,,,,73B921,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902222,676502e2-4e49-4cd6-be96-b5dffbaff19f
https://www.deckenmalerei.eu/92b607f2-3ce2-4b6b-a5e6-ea3487258f3f,Oratio,,,,73C7213;73C72132,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902223,92b607f2-3ce2-4b6b-a5e6-ea3487258f3f
https://www.deckenmalerei.eu/a4b2c976-15fe-46da-bfb3-1ce0d30f6ef1,Gaudium,,,,73B931,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902231,a4b2c976-15fe-46da-bfb3-1ce0d30f6ef1
https://www.deckenmalerei.eu/cdd023b2-dd0d-42e8-bacd-ba911bbe8e83,Zelus,,,,73D15,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902232,cdd023b2-dd0d-42e8-bacd-ba911bbe8e83
https://www.deckenmalerei.eu/d62046e4-e8fb-43d0-be22-f50cdc0f7e9a,Gratitudo,,,,73C452,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902233,d62046e4-e8fb-43d0-be22-f50cdc0f7e9a
https://www.deckenmalerei.eu/31339c0b-d6e6-4b0c-bd31-0e30f824673f,Abrahahm und Melchisedek,1775-.1776,,,71C117,Q134194,,Q1181933,,Q15450530,Q496383,6,3,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902234,31339c0b-d6e6-4b0c-bd31-0e30f824673f
https://www.deckenmalerei.eu/fe33364c-5aa9-45c7-93cb-8effba7b56cc,Das Mannawunder,1775-1776,,,71E12541,Q134194,,Q1181933,,Q15450530,Q496383,6,3,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902235,fe33364c-5aa9-45c7-93cb-8effba7b56cc
https://www.deckenmalerei.eu/89184420-7c35-4401-ba2a-16ff63360c23,Die Decke im Chor,1775-1776,,,73G222;73G22,Q134194,,Q1181933,,Q15450530,Q496383,6,11,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,Q137902236,89184420-7c35-4401-ba2a-16ff63360c23
https://www.deckenmalerei.eu/9269b37e-ef4a-4a0c-9083-14142f6bd88c,Die Wandmalereireste im Grünen Zimmer,1790,1790,,,,,Q3305213,,Q15450530,,,,,,"painting in Bad Buchau, Abteigebäude","Malerei in Bad Buchau, Abteigebäude",Q468153,,Q137902237,9269b37e-ef4a-4a0c-9083-14142f6bd88c
