qid,Dde,Den,P186,P2079,P276,P5816
Q122702246,"Malerei in Passau, Neue Residenz",,,,,
Q122702246,,"painting in Passau, Neue Residenz",,,,
Q122702246,,,Q572879,,,
Q137902237,,,,,Q468153,
Q137902239,,,,,Q468153,
Q137902297,,,,,Q563805,
Q137902298,,,,,Q563805,
Q137902299,,,,,Q563805,
Q137902300,,,,,Q563805,
Q137902301,,,,,Q563805,
Q137902302,,,,,Q563805,
Q137902303,,,,,Q563805,
Q137902305,,,,,Q563805,
Q137902306,,,,,Q563805,
Q137902307,,,,,Q563805,
Q137902308,,,,,Q563805,
Q137902431,,,,,,Q56556915
Q137902431,,,,,,Q106379705
Q137902584,,,,,,Q106379705
Q137902585,,,,,Q561962,
Q137902586,,,,,Q561962,
Q137902587,,,,,Q561962,
Q137902592,,,,,Q41381904,
Q137902593,,,,,Q41381904,
Q137902594,,,,,Q41381904,
Q137902595,,,,,Q41381904,
Q137902596,,,,,Q41381904,
Q137902597,,,,,Q41381904,
Q137902598,,,,,Q41381904,
Q137902599,,,,,Q41381904,
Q137902600,,,,,Q41381904,
Q137902601,,,,,Q41381904,
Q137902624,,,,,Q107544741,
Q137902625,,,,,Q107544741,
Q137902626,,,,,Q107544741,
Q137902627,,,,,Q107544741,
Q137902628,,,,,Q107544741,
Q137902629,,,,,Q107544741,
Q137902630,,,,,Q107544741,
Q137902631,,,,,Q107544741,
Q137902632,,,,,Q107544741,
Q137902688,,,,,Q574723,
Q137902689,,,,,Q574723,
Q137902690,,,,,Q574723,
Q137902691,,,,,Q574723,
Q137902692,,,,,Q574723,
Q137902693,,,,,Q574723,
Q137902694,,,,,Q574723,
Q137902695,,,,,Q574723,
Q137902696,,,,,Q574723,
Q137902697,,,,,Q574723,
Q137902698,,,,,Q574723,
Q137902699,,,,,Q574723,
Q137902699,,,,,,Q56556915
Q137902700,,,,,Q574723,
Q137902701,,,,,Q574723,
Q137902702,,,,,Q574723,
Q137902703,,,,,Q574723,
Q137902704,,,,,Q574723,
Q137902705,,,,,Q574723,
Q137902706,,,,,Q574723,
Q137902707,,,,,Q574723,
Q137902708,,,,,Q574723,
Q137902709,,,,,Q574723,
Q137902710,,,,,Q574723,
Q137902711,,,,,Q137762987,
Q137902712,,,,,Q137762987,
Q137902713,,,,,Q137762987,
Q137902739,,,,,,Q106379705
Q137902750,,,Q12321255,,,
Q137902751,,,Q12321255,,,
Q137902784,,,,,,Q106379705
Q137902796,,,Q12321255,,,
Q137902797,,,Q12321255,,,
Q137902798,,,Q296955,,,
Q137902800,,,Q12321255,,,
Q137902802,,,Q296955,,,
Q137902809,,,Q296955,,,
