url,appellation,verbaleDating,processedDating,primaryIconography,iconography,productionMethods_wd,productionMaterials_wd,position,normdata,commissioner,painter,width,length,height,diameter,description_en,description_de,location,condition,ID
https://www.deckenmalerei.eu/443e4237-4f33-44c0-82ff-3adf753b5388,Spes,,,,73C7465,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,443e4237-4f33-44c0-82ff-3adf753b5388
https://www.deckenmalerei.eu/6edf61b9-7350-4a5f-81a9-30db67c8876c,Humilitas,,,,73C423,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,6edf61b9-7350-4a5f-81a9-30db67c8876c
https://www.deckenmalerei.eu/7d7a40cb-9d89-48da-a609-98d43a7dcf18,Fides,,,,73C71241,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,7d7a40cb-9d89-48da-a609-98d43a7dcf18
https://www.deckenmalerei.eu/d901195a-79d3-40b9-957d-483083b04571,Caritas,,,,73D2,Q134194,,Q3305213,,Q15450530,Q1693899,,,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,d901195a-79d3-40b9-957d-483083b04571
https://www.deckenmalerei.eu/c6232d77-4ee9-45be-8235-9ed65ed3dce7,Das Hauptbild,1775-1776,,,"11HH(ADELINDIS VON BUCHAU)4(+5);61BB2(MAXIMILIANE - BUCHAU, AEBTISSIN);73E78;11B(+2);11H(CYPIRAN);11H(KORNELIUS)",Q134194,,Q3305213,,Q15450530,Q496383,6,14,,,"painting in Bad Buchau, Stiftskirche","Malerei in Bad Buchau, Stiftskirche",Q2317852,,c6232d77-4ee9-45be-8235-9ed65ed3dce7
https://www.deckenmalerei.eu/95e32516-0031-467a-acc3-e0a0007a7efd,Der Plafond über dem Langhaus,1750,1750,,71C131;11B333;11D3271;11I4,,Q572879,Q3305213,,,,,,,,"painting in Egloffstein, Schlosskirche St. Bartholomäus","Malerei in Egloffstein, Schlosskirche St. Bartholomäus",Q41376375,,95e32516-0031-467a-acc3-e0a0007a7efd
https://www.deckenmalerei.eu/5079668f-26b4-4614-80a0-0edeffc4a9f7,Christi Himmelfahrt,1720,1720,,11Q764,Q134194,Q572879,Q1181933,,Q9594230,,,,,,"painting in Harburg, Schlosskirche St. Michael","Malerei in Harburg, Schlosskirche St. Michael",Q107504896,,5079668f-26b4-4614-80a0-0edeffc4a9f7
https://www.deckenmalerei.eu/68be8a44-80f2-4035-bdd5-adf02cbe55f7,Die Opferung Isaaks,1720,1720,,71C131,Q134194,Q572879,Q1181933,,Q9594230,,,,,,"painting in Harburg, Schlosskirche St. Michael","Malerei in Harburg, Schlosskirche St. Michael",Q107504896,,68be8a44-80f2-4035-bdd5-adf02cbe55f7
https://www.deckenmalerei.eu/b7c457dc-0683-4293-8bce-9a92c25e14fb,Die Geburt Jesu,1720,1720,,73B1,Q134194,Q572879,Q1181933,,Q9594230,,,,,,"painting in Harburg, Schlosskirche St. Michael","Malerei in Harburg, Schlosskirche St. Michael",Q107504896,,b7c457dc-0683-4293-8bce-9a92c25e14fb
https://www.deckenmalerei.eu/42b33fe6-b502-4004-93df-6b8728b51a94,Merkur,"ca. 1689, transloziert um 1742",,,92B5,Q174705,Q12321255,Q1181933,,Q9594230,,,,,,"painting in Harburg, Schloss, Saalbau","Malerei in Harburg, Schloss, Saalbau",Q1012188,,42b33fe6-b502-4004-93df-6b8728b51a94
https://www.deckenmalerei.eu/a07c57d0-5477-45b1-b221-7336262f9d7a,Minerva,"ca. 1689, transloziert um 1742",,,92C27,Q174705,Q12321255,Q1181933,,Q9594230,,,,,,"painting in Harburg, Schloss, Saalbau","Malerei in Harburg, Schloss, Saalbau",Q1012188,,a07c57d0-5477-45b1-b221-7336262f9d7a
https://www.deckenmalerei.eu/bec3ab3d-b18d-4e71-9bfd-6acd7238041a,Cephalus und Procris,1690/1695,,,92E121,Q134194,,Q1181933,20950143,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,bec3ab3d-b18d-4e71-9bfd-6acd7238041a
https://www.deckenmalerei.eu/48d07391-8430-44d5-ab09-b1f1d8956c10,Opferung der Iphigenie,1690/1695,,,94D132,Q134194,,Q1181933,20950134,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,48d07391-8430-44d5-ab09-b1f1d8956c10
https://www.deckenmalerei.eu/3c948026-b3e6-44d3-a440-78cd26615288,Erde,1680/1684,,,21B;92D1916,Q134194,,Q1181933,20356903,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,3c948026-b3e6-44d3-a440-78cd26615288
https://www.deckenmalerei.eu/8d95e38a-0a22-4159-9948-69982f52e60f,Wasser,1680/1684,,,21D;92D1916;43C1281(+0),Q134194,,Q1181933,20356903,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,8d95e38a-0a22-4159-9948-69982f52e60f
https://www.deckenmalerei.eu/5ca96545-3bb2-411e-979b-174e8bf31e56,Winter,1690/1695,,,23H41;92D1916,Q134194,,Q1181933,20950002,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,5ca96545-3bb2-411e-979b-174e8bf31e56
https://www.deckenmalerei.eu/fb1f496d-2c2b-4648-b457-7e45262e0db7,Herbst,1690/1695,,,23H44;92D1916;47I4222,Q134194,,Q1181933,20950002,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,fb1f496d-2c2b-4648-b457-7e45262e0db7
https://www.deckenmalerei.eu/bd0d83fb-ffeb-43e0-af8a-aad734404d11,Allegorie auf die Stiftung der Preußischen Königswürde,1746/1755?,,,92D1916;44B113;44B191;44B192,Q134194,,Q1181933,20950095,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,bd0d83fb-ffeb-43e0-af8a-aad734404d11
https://www.deckenmalerei.eu/54afcd90-6e6a-42ca-80c9-cd49c1cee343,Allegorie auf die Stiftung der Preußischen Königswürde,um 1701,1701,,92D1916;44B113;44B191;61D(PRUSSIA);44B192,Q134194,,Q1181933,20950083,Q151826,Q608264,,,,,"painting in Berlin, Schloss Köpenick, Corps de Logis","Malerei in Berlin, Schloss Köpenick, Corps de Logis",Q563805,,54afcd90-6e6a-42ca-80c9-cd49c1cee343
