url,appellation,verbaleDating,processedDating,ID
https://www.deckenmalerei.eu/dba922f0-c804-11e9-8a8f-6315b3a88f02,Repräsentationsräume,Juni bis September/Oktober 1751,,dba922f0-c804-11e9-8a8f-6315b3a88f02
https://www.deckenmalerei.eu/2a3ca69d-356c-44df-a002-a2acc735369d,Gästeappartement im 2. Obergeschoss,1685/1690,,2a3ca69d-356c-44df-a002-a2acc735369d
https://www.deckenmalerei.eu/33302821-b735-411a-b6b4-7bf14894cd57,"Gästeappartement im Erdgeschoss, Nordpavillon",1680/1684,,33302821-b735-411a-b6b4-7bf14894cd57
https://www.deckenmalerei.eu/ad063169-58a5-40f6-8b6d-68d726367c14,Appartement Kurfürst Friedrichs III. von Brandenburg,1685/1695,,ad063169-58a5-40f6-8b6d-68d726367c14
https://www.deckenmalerei.eu/c19fd382-876f-4701-b2f9-8f9ec4acd444,"Gästeappartement im Erdgeschoss, Südpavillon",1685/1690,,c19fd382-876f-4701-b2f9-8f9ec4acd444
https://www.deckenmalerei.eu/f05c24b5-0b05-4979-9fb5-282e8e05c13f,Appartement Kurfürstin Sophie Charlottes,1680/1690,,f05c24b5-0b05-4979-9fb5-282e8e05c13f
https://www.deckenmalerei.eu/27c4cdc9-8ca9-4268-8275-b70cf28b7610,Die beiden Nebenzimmer sind noch in Bearbeitung,"1717-1720, 1743-1744",,27c4cdc9-8ca9-4268-8275-b70cf28b7610
https://www.deckenmalerei.eu/da4cbde5-d7d9-4b7e-8571-015baa04416e,Appartement des Fürsten,"1710, 1775",,da4cbde5-d7d9-4b7e-8571-015baa04416e
https://www.deckenmalerei.eu/eb75cf0f-6ace-4137-9bae-b65adf4b2876,Appartement der Fürstin,,,eb75cf0f-6ace-4137-9bae-b65adf4b2876
https://www.deckenmalerei.eu/118718cc-10c9-46e7-9fe4-ef4a32685964,Erschließungsraumfolgen,1598,1598,118718cc-10c9-46e7-9fe4-ef4a32685964
https://www.deckenmalerei.eu/807e2d67-4d33-40bf-baf5-b9c15816f97c,Appartement über der Tafelstube „Schöne Zimmer“,1710-1714,,807e2d67-4d33-40bf-baf5-b9c15816f97c
https://www.deckenmalerei.eu/bfaebc49-e16b-4958-a83e-48390eeebf94,"Appartement über der Kapelle, einstiges „Münchs Gemach“",1600,1600,bfaebc49-e16b-4958-a83e-48390eeebf94
https://www.deckenmalerei.eu/71465426-fd09-4f44-a322-0ca8514ea829,Nördliches Appartement im zweiten Obergeschoss,,,71465426-fd09-4f44-a322-0ca8514ea829
https://www.deckenmalerei.eu/94395fe4-e507-45f2-ab1a-f75c9c542241,Erschließungsraumfolge,,,94395fe4-e507-45f2-ab1a-f75c9c542241
