url,appellation,verbaleDating,processedDating,ID
https://www.deckenmalerei.eu/25496253-99e6-4177-b8fd-1c632fe67586,Die Stiftskirche,1773.1776,,25496253-99e6-4177-b8fd-1c632fe67586
https://www.deckenmalerei.eu/8d21fc0a-b36c-4ba2-bedb-b66df5870c60,Das so genannte Grüne Zimmer,1790,1790,8d21fc0a-b36c-4ba2-bedb-b66df5870c60
https://www.deckenmalerei.eu/a3eabc7a-1a5f-4ccc-a405-8a04c7092c14,Der so genannte Goldene Saal,1790,1790,a3eabc7a-1a5f-4ccc-a405-8a04c7092c14
https://www.deckenmalerei.eu/017ebc40-c807-11e9-8a8f-6315b3a88f02,Festsaal,Juni bis September/Oktober 1751,,017ebc40-c807-11e9-8a8f-6315b3a88f02
https://www.deckenmalerei.eu/7deabc60-c808-11e9-8a8f-6315b3a88f02,Schlafzimmer,Juni bis September/Oktober 1751,,7deabc60-c808-11e9-8a8f-6315b3a88f02
https://www.deckenmalerei.eu/86862240-c805-11e9-8a8f-6315b3a88f02,Treppenhaus,Juni bis September/Oktober 1751,,86862240-c805-11e9-8a8f-6315b3a88f02
https://www.deckenmalerei.eu/cd736990-c807-11e9-8a8f-6315b3a88f02,Audienzzimmer,Juni bis September/Oktober 1751,,cd736990-c807-11e9-8a8f-6315b3a88f02
https://www.deckenmalerei.eu/d662deb0-c80b-11e9-8a8f-6315b3a88f02,Arbeitszimmer,Juni bis September/Oktober 1751,,d662deb0-c80b-11e9-8a8f-6315b3a88f02
https://www.deckenmalerei.eu/11f652c8-0f55-4272-9412-9d6978b0686e,Langhaus,1750-1752,,11f652c8-0f55-4272-9412-9d6978b0686e
https://www.deckenmalerei.eu/da31d8b6-1208-4391-b028-bb82683c8b23,Das Innere der Grotte,1714-1719,,da31d8b6-1208-4391-b028-bb82683c8b23
https://www.deckenmalerei.eu/4eb00a3c-769d-4172-85b6-d8ccc9be361d,Die Spiegelgalerie,1708-1711,,4eb00a3c-769d-4172-85b6-d8ccc9be361d
https://www.deckenmalerei.eu/a1bb628d-ffbb-4db4-89f0-45b0ab8af48d,Das südliche Kabinett,1708-1711,,a1bb628d-ffbb-4db4-89f0-45b0ab8af48d
https://www.deckenmalerei.eu/e79e03fb-55c8-4d92-b8fc-96dae93c2edd,Das nördliche Kabinett,1708-1711,,e79e03fb-55c8-4d92-b8fc-96dae93c2edd
https://www.deckenmalerei.eu/5b602a2c-8276-4f92-be5e-68696ef6686d,Das Innere der Abteikirche,"1070-1129, 1672-1674, 1863-1882, 1938-1940",,5b602a2c-8276-4f92-be5e-68696ef6686d
https://www.deckenmalerei.eu/9abbdb8c-31d4-4520-a4ce-fc58b1922fb0,Kapellenraum,1673-1679,,9abbdb8c-31d4-4520-a4ce-fc58b1922fb0
https://www.deckenmalerei.eu/7af0fa10-bc89-40a5-a1d1-313356a84437,Der gestaltete Innenraum der Schlosskirche,,,7af0fa10-bc89-40a5-a1d1-313356a84437
https://www.deckenmalerei.eu/54ac94bb-220e-49fe-8d87-b55c872a2520,Der Festsaal im 2. OG,1742,1742,54ac94bb-220e-49fe-8d87-b55c872a2520
https://www.deckenmalerei.eu/11e1971e-4b4f-4777-9392-e831e48ef6d6,Vorzimmer,1685/1690,,11e1971e-4b4f-4777-9392-e831e48ef6d6
https://www.deckenmalerei.eu/2319c924-6109-426f-8bb2-95baaa98117c,Kleines Zimmer,1685/1690,,2319c924-6109-426f-8bb2-95baaa98117c
https://www.deckenmalerei.eu/6274a7f6-4cb2-4f19-90a9-09f2b07dc7c1,Kabinett,,,6274a7f6-4cb2-4f19-90a9-09f2b07dc7c1
https://www.deckenmalerei.eu/8d69cb94-8cce-45e2-94a7-0fac0c9c12a4,Schlafgemach,1685/1690,,8d69cb94-8cce-45e2-94a7-0fac0c9c12a4
https://www.deckenmalerei.eu/eea54ff3-7f4f-4130-aa02-c74e581a07ca,Raum,1685/1690,,eea54ff3-7f4f-4130-aa02-c74e581a07ca
https://www.deckenmalerei.eu/0fec8587-834f-4187-9b31-48c971e6c829,Schlafzimmer im Gästeappartement,1680/1684,,0fec8587-834f-4187-9b31-48c971e6c829
https://www.deckenmalerei.eu/8d4abd12-af68-46c1-a283-7dabc13c738f,Vorzimmer,1680/1684,,8d4abd12-af68-46c1-a283-7dabc13c738f
https://www.deckenmalerei.eu/ba619c32-c249-41ff-a938-160449731a9b,Kabinett,1680/1684,,ba619c32-c249-41ff-a938-160449731a9b
https://www.deckenmalerei.eu/39317780-c984-11e9-ad43-878181951032,Vestibül,1685-90,,39317780-c984-11e9-ad43-878181951032
https://www.deckenmalerei.eu/65129550-c989-11e9-b2ea-736429dfecd5,Vorsaal im 1. Obergeschoss,1685-90,,65129550-c989-11e9-b2ea-736429dfecd5
https://www.deckenmalerei.eu/7dd3cb19-5ec1-49db-bb25-de53af0c9127,Großer Saal,1680/1684,,7dd3cb19-5ec1-49db-bb25-de53af0c9127
