appellation,gender,ID
"Jäger, Franz Joseph",MALE,ffd25368-5ae7-4981-bafd-53aa2105f608
"Reiser, Joseph Anton",MALE,ce294e7b-f11a-4b5d-8f8f-f750393bfb73
"Mermos, Cölestin, I., Abt",MALE,b93b6230-c801-11e9-8a8f-6315b3a88f02
"Friedrich, Verena",FEMALE,15c06542-bf38-464e-9848-9d8dc3d0fce0
"Weihing, Johann Georg",MALE,39103d2e-0528-45e6-9c4f-a2424d630eea
"Weidlich, Anton",MALE,4866e67b-c0fd-4737-9ca8-ddb918ab052a
"Aßner, Johann Georg",MALE,c91e2d24-107e-44d2-a5b6-a6c7c773e1a4
"Egloffstein, Albrecht Christoph Carl, Freiherr",MALE,a5dc5d3e-2084-4ee5-af22-a6de63fb301e
"De Vos, Maarten",MALE,32751429-b73e-48f3-b7e0-874e16878448
"Preising, Adahart von",MALE,22a78726-8e7b-4594-b1db-7d54963face6
"Bühler, Johann",MALE,b99812b7-1b30-4975-b940-19470325a1cf
"Prügel, Christian",MALE,a389902f-309a-4c70-ba08-90c17a3aa9ab
"Zink, Matthias",MALE,08528790-edaf-4665-b7d3-b9ee4ba95054
"Castelli, Carlo Ludovico",MALE,33c17f6b-72d7-42a7-9b53-d8ee5e883eb3
"Grote (auf Wrestedt), Gräfin",FEMALE,ea7bf920-c821-11e9-a78f-bdb9a7914b83
"Grote, Otto",MALE,bf6e0d00-c820-11e9-a78f-bdb9a7914b83
"Gödecke, Hans",MALE,365f3310-c823-11e9-a78f-bdb9a7914b83
"Fugger, Maria Josepha Antonia",FEMALE,657a9306-86f5-4243-b8b8-a010d076028f
"Knoll, Quirin",MALE,5286a3f0-c528-11e9-92b4-2f4b03998979
"Fugger, Ruppert Joseph Anton",MALE,39d779c0-cb6c-11e9-a76d-ef0b154b5ae8
"Rothweil, Franz Friedrich",MALE,5f1f66e0-c4bc-11e9-a787-75de7068cfba
"Valentin, Christian Friedrich",MALE,f41ff52c-7f6d-4fb0-9fe8-15c6ae29ca44
"Seeger, Ulrike",FEMALE,c38099d0-c4c4-11e9-8385-59bf93401dce
"Platz, Paul",MALE,a30e62cc-d29c-428b-b39d-95c1ca3f8197
"Schmidt, Gerhard",MALE,1017e839-1ccd-4ce7-af2c-fa5a64163511
"Limmerich, Christoph",MALE,dfa390b6-1ed8-45b6-8ef3-d28c783de32c
"Thalwitzer, Christian",MALE,63f7d9ff-645f-47db-bf6c-5d322ab56f14
"Tassaert, Peter Franz",MALE,4d96940b-8279-4700-b7ff-fc8d72f63b05
"Siegfried, Hohenlohe-Weikersheim, Graf",MALE,9404acc4-efe5-41df-bc28-3f486bcdda80
"Freidrich Kraft, Hohenlohe-Neuenstein-Öhringen, Graf",MALE,0fec4878-e372-4daf-a301-260e7e85f634
"Kraft, Hohenlohe-Neuenstein-Öhringen, Graf",MALE,d21036ae-e59b-4ac0-83d2-1b2d1246a6ae
"Weiß, Johann Valentin",MALE,f52bfc73-0adc-4a41-9f68-20deb3b74f69
"Weissenfelder, Philipp",MALE,4842beab-800b-480a-9434-32f0dcc747f6
"Pollweil und Weilerthal, Rudolf von",MALE,426512af-0857-44be-8889-f8a043282b70
"Krafft, Johann",MALE,6db69680-c8b1-11e9-a8bd-010b40bb6c8f
Joh.....g,MALE,5c6dbba0-c8b2-11e9-a8bd-010b40bb6c8f
"Berger, Georg",MALE,bde3ced0-c8b5-11e9-a8bd-010b40bb6c8f
"Koppers, Gerhard",MALE,d452e575-b804-42ff-a93c-91be92b148b7
"Morsegno, Carlo Pietro",MALE,cf623ea8-071f-44f7-8f0c-ac837bfab53b
"Castelli, Domenico",MALE,9848ebb4-15ea-4cd0-bbce-1f8f49d97b44
"Koppers, Johann Anton",MALE,b2b80dcd-2c8a-4c75-b66c-fe0e0a63ffcc
"Kruse, Jasmin",FEMALE,c5f94355-ffc1-40d5-9edb-dc002ce799db
"Roos, Johann Melchior",MALE,777e15a3-fe29-4155-9aae-d556c289c483
"Wolff, Balthasar",MALE,098d60c5-fc3a-4a09-9c78-59b1e52a5b19
"Albrecht, Nassau-Weilburg-Ottweiler, Graf",MALE,cbc92294-16ba-4dd8-ad99-75b30e3f784e
"Kempf, Ludwig",MALE,764190db-75a4-4fa1-9753-234cd6b11c7d
"Philipp III., Nassau-Weilburg, Graf",MALE,1c74b3ac-554d-427f-b786-0a874aa0fd54
"Schickedanz, Nikolaus",MALE,81dcd448-04f3-45b3-874f-0a3a22bde314
"La Guêpière, Philippe de",,cbc13f30-c5b6-11e9-b6fd-d99e1ba53a95
"Bossi, Ludovico",MALE,52d80e91-7395-4540-86f9-535425d76c7e
"Roger, Louis",MALE,a583f9ac-11ab-471e-8bff-caeaede80400
"Binder, Johann Konrad",MALE,2f7b38d4-acc6-4a9c-99b3-45ddabaebdb2
"Schaumberg, Heinrich Carl",MALE,39996021-43f6-498b-9e36-27bc1c6ab383
"Brabeck, Jobst Edmund III.",MALE,5f6b7f40-c7d6-11e9-8741-07f577d624c4
"Hag, Johann Georg von",MALE,f3ea1ecd-546b-47e2-91f1-4ec0e6175af9
"Recke, Franz Wilhelm von der",MALE,81791a29-1c9d-4af0-a3cd-aa1644d05384
"Reinach, Johann Franz, Freiherr",MALE,c620b83c-ac21-4e18-9d8f-c4a997dff83d
"Falkenstein, Marquard Franz Leopold, Freiherr",MALE,87580c3e-043c-4c3d-9677-4b318898b989
"Reinach, Franz Ignaz Anton, Freiherr",MALE,69bd4fe1-7b8d-455d-9171-b9521a12aea3
"Heinrich II. von Lusignan, Titularkönig von Jerusalem",MALE,c3258c0f-de5c-4149-9c8b-d8c4e8d20440
"Beyerle, Peter Paul",MALE,8a71fe4a-9784-4721-ad87-fbe2f881a10f
"Brienne, Isabelle",FEMALE,5fc84981-97c5-498b-823c-3eb288896b14
"Huber, Andreas",MALE,4c3a36d0-aa2c-4179-8bbf-48b7c0085621
"Vöhlin von Frickenhausen, Johann Joseph Christoph",MALE,ff328acb-87cd-4631-917a-bf8a4359f37c
"Vöhlin von Frickenhausen, Hans Gothard I.",MALE,f9563acc-7543-4580-af33-56bb215bd2a4
"Grafeneck, Marie Louise von",FEMALE,2eab6e88-96b2-4513-aa3e-9bc6ba6fdb16
"Vöhlin von Frickenhausen, Carl",MALE,4d6e6b8b-62ec-430f-ac75-73b64eba5abd
"Vöhlin von Frickenhausen, Erhard, d. J.",MALE,063326c7-3bda-4505-ad66-5805ad0f1637
"Vöhlin von Frickenhausen, Leonhard",MALE,ecb643fc-a24e-4e3b-90aa-8f65ccf3df79
"Lauginger, Elisabeth",FEMALE,e92ea4a4-8612-4d6a-884f-c6bdf5276229
"Vöhlin, Erhard",MALE,e8a825c5-ce22-4a12-bd56-ca8cb90d0645
"Vöhlin, Konrad",MALE,dbd3cbaf-0a25-4e51-bdfc-204b1ad812b7
"Stoß, Ursula",FEMALE,cbf0a324-121c-4da6-967d-00861d8bae97
"Welz, Eva Rosina von",FEMALE,c00ce348-0521-4898-99cb-490b06ecfeba
"Vöhlin, Konrad",MALE,b760d39a-9db3-4caf-8acf-237babbf27d8
"Pappenheim, Maria Dorothea von",FEMALE,aef84ec5-f661-40da-b47d-c4554e1d70be
"Muggenthal, Maria Anna von",FEMALE,a5777701-5584-4ba8-b6dc-7737a7c876df
"Vöhlin von Frickenhausen, Hans Christoph IV.",MALE,a3c8ca47-cf89-4a85-9188-dfff5ead93a7
"Freyberg, Veronica von",FEMALE,a32d10f1-70c6-4cbd-a230-63daf849e953
"Albersdorf, Helena von",FEMALE,9b501e93-cd77-4a89-8872-7026c77d5611
"Vöhlin von Frickenhausen, Hans Christoph III.",MALE,98d8cbf3-977e-44c6-bf7f-d603dfef4cee
"Stoß, Margaretha",FEMALE,922be943-baca-4ce9-b2b0-4a53933d4736
"Vöhlin, Konrad",MALE,86fbcf84-e5f5-411c-9359-52812c257f14
"Welden, Maria Johanna von",FEMALE,7836c918-034e-4f11-9678-60c98fcd8f4b
"Huter, Margaretha",FEMALE,643ba9c0-92ed-42df-abb4-1889c8359cf0
"Vöhlin von Frickenhausen, Erhard, d. Ä.",MALE,51418dd8-0b7f-43bb-a2d9-645b950df845
"Vöhlin, Hans (Konrad)",MALE,4360c94b-f842-4943-b84b-12af56166b02
"Froimont, Johann Clemens",MALE,c868ccf1-c857-4233-8d72-3652a993cb58
"Zeller, Franz",MALE,0e907b78-0113-4748-80be-07b8e1b42fc0
"Lamine, P.",MALE,4c00761a-52b7-46ea-a3a6-0dc450b1727c
"Pedetti, Francesco",MALE,e11211fd-bd48-44c2-ba97-91a086e95749
"Stier, Josef",MALE,e3329969-27a9-41fc-acd7-fd3fe46d7894
"Morath, Johann Anton",MALE,c42391eb-a051-420f-adf3-eef2d2283966
"Beinthner, Johann Gottfried",MALE,edf56429-f47f-4783-b894-a9f5f87e45d1
"Baerna, Giovanni",MALE,a7cdbb9b-c7d1-418b-b00f-4cf61f94d17e
"Gebhard, Johann Jakob",MALE,af95c9c7-a56e-416e-8e84-c5885f52013c
"Schrottenberg, Philipp Dietrich Franz",MALE,fad54ddf-6eb7-48b9-a5b1-8803bb2b473b
"Schrottenberg, Otto Philipp",MALE,0e502e91-01f9-4ca5-8ff6-cb20573d6165
"Albin, Conrad",MALE,a6f63f9c-12f7-42c8-bc23-347ab866591c
"Heußlein von Eussenheim, Anna Katharina Sophia",FEMALE,2f41198c-b634-4077-9e4f-60d07dc3d336
"Beinthner, Johann Christian",MALE,0b78e114-64b2-4c95-a515-767d9a8c2080
"Lehr, Hans Wolf",MALE,292ebcdb-1f16-4461-a779-2dfa97068a45
"Dichtel, Franz Joseph",MALE,088d0345-f975-4293-b431-24be3fd4b4c5
"Häußler, Bernhard",MALE,d633c605-9abf-4665-b022-76976a87e6c5
"Kunzelmann, Adam",MALE,e2cd2d33-7150-4ead-bfaa-8cd8bb00f3cb
"Stahl, Johann Georg",MALE,2660b80d-757d-40d9-992d-7bb1a71f3c98
"Franz Anton, Hohenzollern-Haigerloch, Graf",MALE,cc540255-f129-4cea-aca4-95c3f77c1fbf
"Meinrad I., Hohenzollern-Sigmaringen, Fürst",MALE,b3916818-6d5a-4651-aec6-84cbcea56294
"Christoph von Hohenzollern-Haigerloch, Graf",MALE,a4cfac1b-d15e-426d-9abd-746beade90f4
"Schütz, Nikolaus",MALE,2d5e08c3-60bc-4d40-8ed8-dab08fe56834
"Au, Andreas Meinrad von",MALE,e6b65816-b19b-4d23-8111-db1a503dff94
"Joseph Friedrich Ernst von Hohenzollern-Sigmaringen, Fürst",MALE,e42fa520-08ad-4ebe-be86-2a62f8b548ae
"Katharina, Hohenzollern-Haigerloch, Gräfin, geb. Prinzessin von Welsperg und Primör",FEMALE,b40d84f9-a7d6-4af1-8ce4-8976c638b471
"Maria Theresia, Hohenzollern-Sigmaringen, Fürstin, geb. Waldburg zu Trauchburg",FEMALE,9da81551-cdc6-4474-9f9f-ac1580eb5ddb
"Stockher, Hans",MALE,9aacec9f-d7a8-4d72-b99f-7bf2da29899b
"Großbayer, Franz",MALE,175b1c7b-2002-44ab-b587-bb04541fd736
"Hobs, Franz Magnus",MALE,5f59ca0f-a53e-4d4a-8021-8f04e5da65d8
"Höfer, Johann Georg Ludwig",MALE,b39cebf9-2da9-4944-812b-b2607b5cbc06
"Kaltental zu Aldingen, Georg Wolfgang",MALE,4847e540-c8c3-11e9-bacf-4d9aa20dadba
"Kaltental zu Aldingen, Heinrich",MALE,1fd0de60-c8c7-11e9-bacf-4d9aa20dadba
